ID1 ID2 HetHet IBS0 Kinship
1000052 2307670 0.037 0.0083 0.1027
1000069 1376910 0.046 0.0148 0.0586
1000147 5176899 0.045 0.0156 0.048
1000162 5718964 0.047 0.0137 0.0704
1000196 2967577 0.058 0.0058 0.2055
1000235 3638908 0.047 0.0133 0.0751
1000329 5305664 0.071 0.0057 0.2208
1000451 4731144 0.066 0.0001 0.2447
1000465 1228126 0.067 0.0002 0.2399
1000488 5289014 0.043 0.0154 0.0472
1000594 5451903 0.051 0.0105 0.11
1000617 6006904 0.072 0.0047 0.2399
1000781 4358394 0.074 0.0053 0.2364
1000781 5520478 0.045 0.0149 0.0531
1000939 1406066 0.077 0.0048 0.2541
1000950 1632291 0.074 0.0059 0.2304
1000950 2598387 0.046 0.0141 0.0637
1000986 4758627 0.077 0.0048 0.2461
1000998 2293274 0.046 0.0144 0.0623
1000998 3178478 0.08 0.0034 0.2718
1001063 2739657 0.045 0.0142 0.0589
1001081 2331852 0.045 0.0148 0.0547
1001195 1180921 0.054 0.0099 0.1278
1001252 3034226 0.047 0.0136 0.0694
1001252 3598110 0.072 0.0047 0.24
1001291 4131941 0.047 0.0146 0.0665
1001366 5457884 0.046 0.0143 0.0616
1001551 1137366 0.043 0.0154 0.0472
1001622 3383010 0.046 0.0141 0.0656
1001654 1911986 0.046 0.0136 0.068
1001654 2771085 0.047 0.0143 0.0652
1001654 4720456 0.045 0.0149 0.0527
1001697 4108626 0.046 0.013 0.0749
1001697 4220660 0.075 0.0055 0.2393
1001800 2761986 0.046 0.0151 0.0569
1001848 4585264 0.047 0.0142 0.0651
1001861 1472198 0.044 0.015 0.0512
1001933 2590440 0.045 0.0161 0.0446
1002029 2438763 0.076 0.0042 0.2557
1002310 4046935 0.045 0.0155 0.053
1002310 4980804 0.08 0.0039 0.2719
1002376 3334967 0.045 0.0149 0.0554
1002391 4548244 0.045 0.0144 0.0616
1002472 3580758 0.065 0.0001 0.2411
1002627 4679729 0.048 0.0127 0.0829
1002747 5425853 0.053 0.0088 0.1325
1002812 2206902 0.045 0.0147 0.0556
1002925 3028061 0.067 0 0.2489
1002938 5078294 0.048 0.0127 0.0782
1002980 4758688 0.054 0.0088 0.132
1003089 3377443 0.047 0.0145 0.0651
1003114 1736676 0.075 0.0057 0.2369
1003130 5298306 0.046 0.0131 0.0715
1003151 3868904 0.047 0.015 0.0614
1003188 1794287 0.045 0.0139 0.0626
1003201 3433264 0.047 0.0136 0.0704
1003213 4225682 0.084 0.0026 0.2953
1003429 5963546 0.048 0.0119 0.0905
1003495 3638061 0.046 0.0152 0.0557
1003632 4229540 0.077 0.0052 0.25
1003709 3560928 0.044 0.0149 0.0483
1003735 5539865 0.046 0.0136 0.0716
1003754 5708687 0.052 0.0096 0.1254
1003852 2800155 0.041 0.0114 0.05
1003979 5161878 0.08 0.0035 0.2738
1004047 2557053 0.046 0.0144 0.061
1004062 2084724 0.047 0.0141 0.0669
1004071 5932777 0.044 0.0156 0.0447
1004176 2791695 0.079 0.0049 0.2582
1004322 1832294 0.076 0.0041 0.2518
1004335 4201591 0.078 0.004 0.257
1004397 2109136 0.051 0.0096 0.12
1004401 4391874 0.073 0.006 0.2248
1004413 1578257 0.048 0.0136 0.0746
1004480 3066975 0.044 0.0145 0.0543
1004517 3238094 0.078 0.0046 0.2576
1004561 2526152 0.074 0.0071 0.2212
1004750 2056978 0.045 0.0152 0.0522
1004750 5474284 0.078 0.005 0.2522
1004814 1778254 0.055 0.0075 0.1475
1004814 5930927 0.069 0.0059 0.2163
1004892 3587418 0.051 0.0102 0.1131
1004963 2456214 0.054 0.0086 0.1362
1005050 4474013 0.045 0.0146 0.0589
1005077 4745682 0.067 0 0.2504
